1.802608152044013368e+00,2.274188457601315605e+00,5.172502927393064276e+00
1.803357825130784464e+00,2.273466431482992878e+00,5.173196982570484437e+00
3.594876533091106552e+00,2.237893792995302888e+00,5.192262837120767749e+00
5.101656715122710573e+00,8.970454878579672275e-01,4.730741206349780903e+00
5.147312247910932115e+00,2.243264765662387639e+00,3.744190520050487136e-01
5.146366444488811531e+00,2.243858608224179818e+00,3.724534693574986233e-01
4.373466507151660743e+00,8.900770112621040342e-01,8.311328369979176234e-01
5.384751922000490687e+00,2.274070025741379730e+00,5.938001097947677387e+00
5.089180971864700531e+00,1.848966817447668998e+00,5.940257011333991422e+00
1.523988769461588122e+00,1.237079702881780596e+00,2.795060032295145991e+00
1.522988840649391218e+00,1.237856605559394474e+00,2.794698487550889787e+00
2.072265008963348087e+00,6.061531930785830191e+00,4.390226344011912474e+00
1.428697458593812808e-01,4.939075000775891233e+00,2.333190320750573754e+00
2.361210085182781970e+00,5.187345270339033476e+00,-4.184202348505921543e-01
3.342028890302855437e+00,4.241996872248495976e+00,-4.384606092681602729e-01
3.341813252426611314e+00,4.241193307438562599e+00,-4.390657668043172479e-01
1.681780524265045651e+00,4.141770907625596188e+00,-1.575941886325697538e+00
1.230668517797292250e+00,4.107068176324987441e+00,-1.561710645424067678e+00
1.554947134234596184e+00,3.292034703881484337e+00,2.719087872231916503e+00
2.961052497387450799e+00,4.226026921369659739e+00,4.174273860197115660e+00
4.034229627258100415e+00,7.100407248116821002e+00,5.140408816503144074e+00
9.649613825960107194e-01,8.089492240315371063e+00,4.269458368293034489e+00
1.618162704972369470e+00,6.297862048391412948e+00,6.722219425275429705e-01
5.333505701835878909e+00,4.503216076232747334e+00,2.911895727350122254e+00
5.333749426740868493e+00,4.502252322048815536e+00,2.912855102874277957e+00
3.012592664838869005e+00,3.138524297499269977e+00,4.244008786264732436e+00
2.452008561801437114e+00,4.251915260697690435e+00,4.221565995326439058e+00
2.914190735344301952e+00,4.862418816791252318e+00,4.666126798749978377e+00
2.915108683727591021e+00,4.863499782341508038e+00,4.665523652293621204e+00
4.814997633920587106e+00,6.820108276514456946e+00,1.936213286453590143e+00
2.762246012592223909e+00,8.575232749524612785e+00,-8.536105123397871308e-01
2.761399831038493957e+00,8.575797085950350507e+00,-8.528931626586042647e-01
2.808589716294431771e+00,8.051233602330631456e+00,7.561442199419798449e+00
2.809591987222588738e+00,8.051599967982173922e+00,7.561632104955473110e+00
2.888423998279039395e+00,1.123294207354190100e+01,3.101659612880333095e-01
3.348361295914743074e+00,8.098929986853459440e+00,-8.535230621934505324e-01
4.116315222071345481e+00,1.080044570463804021e+01,6.415039339234115401e-01
4.115964470608973080e+00,1.080204827063362316e+01,6.450501317582418848e-01
