1.634132936388057677e+00,1.745595690037042402e+00,3.949399418269271322e+00
1.959558131014597748e+00,2.335066276924765649e+00,5.379951697936916410e+00
2.826677873940378394e+00,2.365486867608415977e+00,5.116092423141831880e+00
4.443709782655390406e+00,1.458249647477657618e+00,5.344872378780248567e+00
5.333175871439796545e+00,1.431978073911501115e+00,2.504860548159791644e+00
4.523015200965951443e+00,2.512738544155145526e+00,3.957943905178561844e-02
3.998177979463969134e+00,1.422755591515547424e+00,2.346722950693415632e-01
4.894325274032616413e+00,1.493224234560441177e+00,3.363571970301930225e+00
5.635010730704498982e+00,2.280685311268175752e+00,6.664061127268799289e+00
3.183223594670605561e+00,1.323588785219182329e+00,4.154634184154917698e+00
1.713828051974719102e+00,2.055578381832199764e+00,3.335139200597590836e+00
4.655313254028751402e+00,3.873746876752172330e+00,3.989495702745447847e+00
3.748536994469447325e+00,5.313394151629412754e+00,1.354521149482510900e+00
6.619614783792264756e-01,7.385025257315213310e+00,2.221469389233944991e+00
2.596466022794222450e+00,7.921093867293990343e+00,5.080465080462569283e+00
3.762539490535195430e+00,5.903951496994553239e+00,4.933346914412939377e+00
2.640234372312229905e+00,4.469701976368369856e+00,4.545638299685090367e+00
1.845846300917499683e+00,3.756918264519010009e+00,3.344245314936268532e+00
2.326725776391402878e+00,3.141788893539374961e+00,3.159829345513901266e+00
3.119510885885091955e+00,3.557775856681201887e+00,4.342932188997256304e+00
3.515626160217736107e+00,5.356999466078392835e+00,3.248748638690851731e+00
4.852381888128590504e+00,6.608783182681623458e+00,2.315779424432538480e+00
3.889344944411470717e+00,7.661071450604825195e+00,4.813132450039939170e-02
2.098494246249747341e+00,8.983940875069254872e+00,1.724655539319153608e+00
1.940157507179163021e+00,7.617779599846571159e+00,5.094719079008007689e+00
1.941844912103705578e+00,4.445509410463064803e+00,4.173127529814013137e+00
5.235929034089490397e-01,3.999080093233990052e+00,3.363272654223854019e+00
1.253305107809364216e+00,5.321507552315233980e+00,9.143800393100444124e-01
1.978849194321265603e+00,4.628898966794930736e+00,-1.194881398536895345e+00
1.259483346414425720e+00,4.040768585140394720e+00,-1.667042661575849349e+00
2.099299784995192653e+00,4.135766052882246413e+00,-1.354144290767305137e+00
2.993978795940265503e+00,3.841258865017374902e+00,-6.357786836962673327e-01
3.456107592181313581e+00,5.918000311301561567e+00,-7.079589880565514415e-01
3.004162412870175380e+00,1.001315524507329258e+01,-2.848406471664527984e-01
3.450799745745021241e+00,1.131337146902071389e+01,2.411817571004334360e-01
4.329759252128720703e+00,1.026335026404693451e+01,2.647493220521911717e+00
3.449327311679723174e+00,8.471299778695980720e+00,6.857191453515061319e+00
2.664882443289364744e+00,9.256984032668144735e+00,6.868889442323780514e+00
